Duration,Occupation,Year,Percentage
Y_GE10,OC0,2002,66.5
Y_GE10,OC0,2003,67.1
Y_GE10,OC0,2004,66.6
Y_GE10,OC0,2006,64.3
Y_GE10,OC0,2007,65.8
Y_GE10,OC0,2008,66.6
Y_GE10,OC0,2009,67.1
Y_GE10,OC0,2010,66.7
Y_GE10,OC0,2012,68
Y_GE10,OC0,2013,67.3
Y_GE10,OC0,2014,67.7
Y_GE10,OC0,2015,69.3
Y_GE10,OC0,2016,70.3
Y_GE10,OC0,2017,70.8
Y_GE10,OC0,2018,72.9
Y_GE10,OC0,2019,73.7
Y_GE10,OC0,2020,77.2
Y_GE10,OC0,2022,73.9
Y_GE10,OC1,2002,48.7
Y_GE10,OC1,2003,49.6
Y_GE10,OC1,2004,50.6
Y_GE10,OC1,2006,50.1
Y_GE10,OC1,2007,50
Y_GE10,OC1,2008,50.1
Y_GE10,OC1,2009,50.2
Y_GE10,OC1,2010,52
Y_GE10,OC1,2012,53
Y_GE10,OC1,2013,53.9
Y_GE10,OC1,2014,53.9
Y_GE10,OC1,2015,54.6
Y_GE10,OC1,2016,54.3
Y_GE10,OC1,2017,54.5
Y_GE10,OC1,2018,54.9
Y_GE10,OC1,2019,54.1
Y_GE10,OC1,2020,54.7
Y_GE10,OC1,2022,52.4
Y_GE10,OC2,2002,46.6
Y_GE10,OC2,2003,47.2
Y_GE10,OC2,2004,46.8
Y_GE10,OC2,2006,46.3
Y_GE10,OC2,2007,45.8
Y_GE10,OC2,2008,45.4
Y_GE10,OC2,2009,46
Y_GE10,OC2,2010,47.3
Y_GE10,OC2,2012,47.5
Y_GE10,OC2,2013,47.6
Y_GE10,OC2,2014,47.4
Y_GE10,OC2,2015,47.6
Y_GE10,OC2,2016,47.5
Y_GE10,OC2,2017,47.5
Y_GE10,OC2,2018,47.7
Y_GE10,OC2,2019,47
Y_GE10,OC2,2020,47.2
Y_GE10,OC2,2022,45
Y_GE10,OC3,2002,47.7
Y_GE10,OC3,2003,48
Y_GE10,OC3,2004,48.3
Y_GE10,OC3,2006,47.1
Y_GE10,OC3,2007,47.3
Y_GE10,OC3,2008,46.6
Y_GE10,OC3,2009,46.7
Y_GE10,OC3,2010,48.3
Y_GE10,OC3,2012,50.6
Y_GE10,OC3,2013,51
Y_GE10,OC3,2014,50.9
Y_GE10,OC3,2015,50.7
Y_GE10,OC3,2016,50.7
Y_GE10,OC3,2017,50.4
Y_GE10,OC3,2018,49.9
Y_GE10,OC3,2019,49.3
Y_GE10,OC3,2020,50
Y_GE10,OC3,2022,47.1
Y_GE10,OC4,2002,49.2
Y_GE10,OC4,2003,49.4
Y_GE10,OC4,2004,48.2
